model,method,causal_structure,evitability,action,permissibility_rating,intention_rating,scenario_id
claude-2,0shot,1,1,1,2,2,0
claude-2,0shot,1,1,1,2,4,1
claude-2,0shot,1,1,1,3,2,2
claude-2,0shot,1,1,1,4,2,3
claude-2,0shot,1,1,1,3,2,4
claude-2,0shot,1,1,1,2,2,5
claude-2,0shot,1,1,1,3,2,6
claude-2,0shot,1,1,1,2,2,7
claude-2,0shot,1,1,1,2,2,8
claude-2,0shot,1,1,1,3,2,9
claude-2,0shot,1,1,1,2,2,10
claude-2,0shot,1,1,1,2,2,11
claude-2,0shot,1,1,1,4,2,12
claude-2,0shot,1,1,1,3,2,13
claude-2,0shot,1,1,1,3,2,14
claude-2,0shot,1,1,1,3,2,15
claude-2,0shot,1,1,1,2,2,16
claude-2,0shot,1,1,1,3,2,17
claude-2,0shot,1,1,1,3,2,18
claude-2,0shot,1,1,1,4,2,19
claude-2,0shot,1,1,1,2,2,20
claude-2,0shot,1,1,1,2,2,21
claude-2,0shot,1,1,1,2,2,22
claude-2,0shot,1,1,1,2,2,23
claude-2,0shot,1,1,1,2,2,24
claude-2,0shot,1,1,1,2,2,25
claude-2,0shot,1,1,1,3,2,26
claude-2,0shot,1,1,1,4,2,27
claude-2,0shot,1,1,1,3,2,28
claude-2,0shot,1,1,1,3,2,29
claude-2,0shot,1,1,1,4,2,30
claude-2,0shot,1,1,1,3,2,31
claude-2,0shot,1,1,1,3,2,32
claude-2,0shot,1,1,1,4,1,33
claude-2,0shot,1,1,1,2,2,34
claude-2,0shot,1,1,1,2,2,35
claude-2,0shot,1,1,1,3,2,36
claude-2,0shot,1,1,1,2,2,37
claude-2,0shot,1,1,1,2,2,38
claude-2,0shot,1,1,1,4,2,39
claude-2,0shot,1,1,1,2,2,40
claude-2,0shot,1,1,1,3,2,41
claude-2,0shot,1,1,1,2,2,42
claude-2,0shot,1,1,1,2,2,43
claude-2,0shot,1,1,1,3,2,44
claude-2,0shot,1,1,1,2,2,45
claude-2,0shot,1,1,1,3,2,46
claude-2,0shot,1,1,1,2,2,47
claude-2,0shot,1,1,1,2,2,48
claude-2,0shot,1,1,1,3,2,49
claude-2,0shot_cot,1,1,1,2,2,0
