model,method,causal_structure,evitability,action,permissibility_rating,intention_rating,scenario_id
gpt-4-0613,0shot,1,1,1,1,2,0
gpt-4-0613,0shot,1,1,1,1,5,1
gpt-4-0613,0shot,1,1,1,3,4,2
gpt-4-0613,0shot,1,1,1,4,5,3
gpt-4-0613,0shot,1,1,1,1,1,4
gpt-4-0613,0shot,1,1,1,2,4,5
gpt-4-0613,0shot,1,1,1,4,4,6
gpt-4-0613,0shot,1,1,1,1,4,7
gpt-4-0613,0shot,1,1,1,2,4,8
gpt-4-0613,0shot,1,1,1,3,1,9
gpt-4-0613,0shot,1,1,1,1,4,10
gpt-4-0613,0shot,1,1,1,5,4,11
gpt-4-0613,0shot,1,1,1,3,4,12
gpt-4-0613,0shot,1,1,1,3,5,13
gpt-4-0613,0shot,1,1,1,1,5,14
gpt-4-0613,0shot,1,1,1,1,4,15
gpt-4-0613,0shot,1,1,1,1,4,16
gpt-4-0613,0shot,1,1,1,1,1,17
gpt-4-0613,0shot,1,1,1,3,4,18
gpt-4-0613,0shot,1,1,1,5,5,19
gpt-4-0613,0shot,1,1,1,1,4,20
gpt-4-0613,0shot,1,1,1,1,4,21
gpt-4-0613,0shot,1,1,1,1,4,22
gpt-4-0613,0shot,1,1,1,1,4,23
gpt-4-0613,0shot,1,1,1,1,4,24
gpt-4-0613,0shot,1,1,1,1,4,25
gpt-4-0613,0shot,1,1,1,4,4,26
gpt-4-0613,0shot,1,1,1,4,1,27
gpt-4-0613,0shot,1,1,1,5,4,28
gpt-4-0613,0shot,1,1,1,4,4,29
gpt-4-0613,0shot,1,1,1,4,1,30
gpt-4-0613,0shot,1,1,1,5,1,31
gpt-4-0613,0shot,1,1,1,2,4,32
gpt-4-0613,0shot,1,1,1,5,1,33
gpt-4-0613,0shot,1,1,1,1,4,34
gpt-4-0613,0shot,1,1,1,1,4,35
gpt-4-0613,0shot,1,1,1,5,4,36
gpt-4-0613,0shot,1,1,1,1,2,37
gpt-4-0613,0shot,1,1,1,1,4,38
gpt-4-0613,0shot,1,1,1,4,1,39
gpt-4-0613,0shot,1,1,1,4,4,40
gpt-4-0613,0shot,1,1,1,1,1,41
gpt-4-0613,0shot,1,1,1,2,5,42
gpt-4-0613,0shot,1,1,1,1,1,43
gpt-4-0613,0shot,1,1,1,3,4,44
gpt-4-0613,0shot,1,1,1,1,4,45
gpt-4-0613,0shot,1,1,1,4,5,46
gpt-4-0613,0shot,1,1,1,1,4,47
gpt-4-0613,0shot,1,1,1,1,1,48
gpt-4-0613,0shot,1,1,1,3,1,49
gpt-4-0613,0shot,1,1,0,1,4,0
