model,method,causal_structure,evitability,action,permissibility_rating,intention_rating,scenario_id
gpt-4-0613,0shot,1,1,1,1,2,1
gpt-4-0613,0shot,1,1,1,1,5,2
gpt-4-0613,0shot,1,1,1,4,4,3
gpt-4-0613,0shot,1,1,1,4,4,4
gpt-4-0613,0shot,1,1,1,2,2,5
gpt-4-0613,0shot,1,1,1,2,2,6
gpt-4-0613,0shot,1,1,1,4,2,7
gpt-4-0613,0shot,1,1,1,2,2,8
gpt-4-0613,0shot,1,1,1,2,2,9
gpt-4-0613,0shot,1,1,1,2,2,10
gpt-4-0613,0shot,1,1,1,2,2,11
gpt-4-0613,0shot,1,1,1,4,2,12
gpt-4-0613,0shot,1,1,1,4,4,13
gpt-4-0613,0shot,1,1,1,4,2,14
gpt-4-0613,0shot,1,1,1,2,4,15
gpt-4-0613,0shot,1,1,1,2,2,16
gpt-4-0613,0shot,1,1,1,2,2,17
gpt-4-0613,0shot,1,1,1,2,2,18
gpt-4-0613,0shot,1,1,1,4,2,19
gpt-4-0613,0shot,1,1,1,5,2,20
gpt-4-0613,0shot,1,1,1,2,2,21
gpt-4-0613,0shot,1,1,1,2,2,22
gpt-4-0613,0shot,1,1,1,1,2,23
gpt-4-0613,0shot,1,1,1,1,2,24
gpt-4-0613,0shot,1,1,1,2,2,25
gpt-4-0613,0shot,1,1,1,2,2,26
gpt-4-0613,0shot,1,1,1,2,2,27
gpt-4-0613,0shot,1,1,1,4,2,28
gpt-4-0613,0shot,1,1,1,4,2,29
gpt-4-0613,0shot,1,1,1,3,2,30
gpt-4-0613,0shot,1,1,1,4,2,31
gpt-4-0613,0shot,1,1,1,5,2,32
gpt-4-0613,0shot,1,1,1,4,4,33
gpt-4-0613,0shot,1,1,1,4,2,34
gpt-4-0613,0shot,1,1,1,2,2,35
gpt-4-0613,0shot,1,1,1,1,2,36
gpt-4-0613,0shot,1,1,1,5,2,37
gpt-4-0613,0shot,1,1,1,1,4,38
gpt-4-0613,0shot,1,1,1,1,2,39
gpt-4-0613,0shot,1,1,1,4,2,40
gpt-4-0613,0shot,1,1,1,4,4,41
gpt-4-0613,0shot,1,1,1,3,2,42
gpt-4-0613,0shot,1,1,1,2,2,43
gpt-4-0613,0shot,1,1,1,2,2,44
gpt-4-0613,0shot,1,1,1,2,2,45
gpt-4-0613,0shot,1,1,1,2,2,46
gpt-4-0613,0shot,1,1,1,4,4,47
gpt-4-0613,0shot,1,1,1,2,2,48
gpt-4-0613,0shot,1,1,1,2,2,49
