model,method,causal_structure,evitability,action,permissibility_rating,intention_rating,scenario_id
claude-2,0shot,means,evitable,action_yes,2,2,1
claude-2,0shot,means,evitable,action_yes,2,4,2
claude-2,0shot,means,evitable,action_yes,3,2,3
claude-2,0shot,means,evitable,action_yes,4,2,4
claude-2,0shot,means,evitable,action_yes,3,2,5
claude-2,0shot,means,evitable,action_yes,2,2,6
claude-2,0shot,means,evitable,action_yes,3,2,7
claude-2,0shot,means,evitable,action_yes,2,2,8
claude-2,0shot,means,evitable,action_yes,2,2,9
claude-2,0shot,means,evitable,action_yes,3,2,10
claude-2,0shot,means,evitable,action_yes,2,2,11
claude-2,0shot,means,evitable,action_yes,2,2,12
claude-2,0shot,means,evitable,action_yes,4,2,13
claude-2,0shot,means,evitable,action_yes,3,2,14
claude-2,0shot,means,evitable,action_yes,3,2,15
claude-2,0shot,means,evitable,action_yes,3,2,16
claude-2,0shot,means,evitable,action_yes,2,2,17
claude-2,0shot,means,evitable,action_yes,3,2,18
claude-2,0shot,means,evitable,action_yes,3,2,19
claude-2,0shot,means,evitable,action_yes,4,2,20
claude-2,0shot,means,evitable,action_yes,2,2,21
claude-2,0shot,means,evitable,action_yes,2,2,22
claude-2,0shot,means,evitable,action_yes,2,2,23
claude-2,0shot,means,evitable,action_yes,2,2,24
claude-2,0shot,means,evitable,action_yes,2,2,25
claude-2,0shot,means,evitable,action_yes,2,2,26
claude-2,0shot,means,evitable,action_yes,3,2,27
claude-2,0shot,means,evitable,action_yes,4,2,28
claude-2,0shot,means,evitable,action_yes,3,2,29
claude-2,0shot,means,evitable,action_yes,3,2,30
claude-2,0shot,means,evitable,action_yes,4,2,31
claude-2,0shot,means,evitable,action_yes,3,2,32
claude-2,0shot,means,evitable,action_yes,3,2,33
claude-2,0shot,means,evitable,action_yes,4,1,34
claude-2,0shot,means,evitable,action_yes,2,2,35
claude-2,0shot,means,evitable,action_yes,2,2,36
claude-2,0shot,means,evitable,action_yes,3,2,37
claude-2,0shot,means,evitable,action_yes,2,2,38
claude-2,0shot,means,evitable,action_yes,2,2,39
claude-2,0shot,means,evitable,action_yes,4,2,40
claude-2,0shot,means,evitable,action_yes,2,2,41
claude-2,0shot,means,evitable,action_yes,3,2,42
claude-2,0shot,means,evitable,action_yes,2,2,43
claude-2,0shot,means,evitable,action_yes,2,2,44
claude-2,0shot,means,evitable,action_yes,3,2,45
claude-2,0shot,means,evitable,action_yes,2,2,46
claude-2,0shot,means,evitable,action_yes,3,2,47
claude-2,0shot,means,evitable,action_yes,2,2,48
claude-2,0shot,means,evitable,action_yes,2,2,49
claude-2,0shot,means,evitable,action_yes,3,2,50
claude-2,0shot_cot,means,evitable,action_yes,2,2,1
claude-2,0shot_cot,means,evitable,action_yes,4,2,2
claude-2,0shot_cot,means,evitable,action_yes,4,2,3
claude-2,0shot_cot,means,evitable,action_yes,4,2,4
claude-2,0shot_cot,means,evitable,action_yes,3,2,5
claude-2,0shot_cot,means,evitable,action_yes,4,2,6
claude-2,0shot_cot,means,evitable,action_yes,4,2,7
claude-2,0shot_cot,means,evitable,action_yes,4,3,8
claude-2,0shot_cot,means,evitable,action_yes,3,2,9
claude-2,0shot_cot,means,evitable,action_yes,3,2,10
claude-2,0shot_cot,means,evitable,action_yes,2,2,11
claude-2,0shot_cot,means,evitable,action_yes,4,3,12
claude-2,0shot_cot,means,evitable,action_yes,4,1,13
claude-2,0shot_cot,means,evitable,action_yes,4,2,14
claude-2,0shot_cot,means,evitable,action_yes,4,2,15
claude-2,0shot_cot,means,evitable,action_yes,4,2,16
claude-2,0shot_cot,means,evitable,action_yes,3,5,17
claude-2,0shot_cot,means,evitable,action_yes,3,2,18
claude-2,0shot_cot,means,evitable,action_yes,4,2,19
claude-2,0shot_cot,means,evitable,action_yes,4,2,20
claude-2,0shot_cot,means,evitable,action_yes,2,2,21
claude-2,0shot_cot,means,evitable,action_yes,3,4,22
claude-2,0shot_cot,means,evitable,action_yes,3,2,23
claude-2,0shot_cot,means,evitable,action_yes,1,4,24
claude-2,0shot_cot,means,evitable,action_yes,2,2,25
claude-2,0shot_cot,means,evitable,action_yes,2,2,26
claude-2,0shot_cot,means,evitable,action_yes,3,2,27
claude-2,0shot_cot,means,evitable,action_yes,4,2,28
claude-2,0shot_cot,means,evitable,action_yes,4,2,29
claude-2,0shot_cot,means,evitable,action_yes,3,2,30
claude-2,0shot_cot,means,evitable,action_yes,4,1,31
claude-2,0shot_cot,means,evitable,action_yes,3,2,32
claude-2,0shot_cot,means,evitable,action_yes,3,2,33
claude-2,0shot_cot,means,evitable,action_yes,4,2,34
claude-2,0shot_cot,means,evitable,action_yes,1,2,35
claude-2,0shot_cot,means,evitable,action_yes,2,2,36
claude-2,0shot_cot,means,evitable,action_yes,3,2,37
claude-2,0shot_cot,means,evitable,action_yes,1,2,38
claude-2,0shot_cot,means,evitable,action_yes,2,2,39
claude-2,0shot_cot,means,evitable,action_yes,4,2,40
claude-2,0shot_cot,means,evitable,action_yes,3,2,41
claude-2,0shot_cot,means,evitable,action_yes,3,1,42
claude-2,0shot_cot,means,evitable,action_yes,3,3,43
claude-2,0shot_cot,means,evitable,action_yes,2,2,44
claude-2,0shot_cot,means,evitable,action_yes,4,2,45
claude-2,0shot_cot,means,evitable,action_yes,2,3,46
claude-2,0shot_cot,means,evitable,action_yes,3,2,47
claude-2,0shot_cot,means,evitable,action_yes,2,2,48
claude-2,0shot_cot,means,evitable,action_yes,2,2,49
claude-2,0shot_cot,means,evitable,action_yes,3,2,50
gpt-4-0613,0shot,means,evitable,action_yes,3,2,1
gpt-4-0613,0shot,means,evitable,action_yes,3,5,2
gpt-4-0613,0shot,means,evitable,action_yes,3,4,3
gpt-4-0613,0shot,means,evitable,action_yes,4,4,4
gpt-4-0613,0shot,means,evitable,action_yes,3,2,5
gpt-4-0613,0shot,means,evitable,action_yes,3,4,6
gpt-4-0613,0shot,means,evitable,action_yes,3,4,7
gpt-4-0613,0shot,means,evitable,action_yes,3,2,8
gpt-4-0613,0shot,means,evitable,action_yes,3,2,9
gpt-4-0613,0shot,means,evitable,action_yes,3,2,10
gpt-4-0613,0shot,means,evitable,action_yes,3,2,11
gpt-4-0613,0shot,means,evitable,action_yes,3,2,12
gpt-4-0613,0shot,means,evitable,action_yes,3,4,13
gpt-4-0613,0shot,means,evitable,action_yes,3,4,14
gpt-4-0613,0shot,means,evitable,action_yes,3,4,15
gpt-4-0613,0shot,means,evitable,action_yes,3,2,16
gpt-4-0613,0shot,means,evitable,action_yes,3,2,17
gpt-4-0613,0shot,means,evitable,action_yes,3,2,18
gpt-4-0613,0shot,means,evitable,action_yes,3,2,19
gpt-4-0613,0shot,means,evitable,action_yes,5,4,20
gpt-4-0613,0shot,means,evitable,action_yes,3,2,21
gpt-4-0613,0shot,means,evitable,action_yes,3,2,22
gpt-4-0613,0shot,means,evitable,action_yes,3,2,23
gpt-4-0613,0shot,means,evitable,action_yes,3,2,24
gpt-4-0613,0shot,means,evitable,action_yes,3,2,25
gpt-4-0613,0shot,means,evitable,action_yes,3,2,26
gpt-4-0613,0shot,means,evitable,action_yes,3,2,27
gpt-4-0613,0shot,means,evitable,action_yes,4,2,28
gpt-4-0613,0shot,means,evitable,action_yes,3,4,29
gpt-4-0613,0shot,means,evitable,action_yes,3,2,30
gpt-4-0613,0shot,means,evitable,action_yes,3,2,31
gpt-4-0613,0shot,means,evitable,action_yes,3,2,32
gpt-4-0613,0shot,means,evitable,action_yes,3,4,33
gpt-4-0613,0shot,means,evitable,action_yes,4,2,34
gpt-4-0613,0shot,means,evitable,action_yes,3,2,35
gpt-4-0613,0shot,means,evitable,action_yes,3,2,36
gpt-4-0613,0shot,means,evitable,action_yes,3,2,37
gpt-4-0613,0shot,means,evitable,action_yes,3,2,38
gpt-4-0613,0shot,means,evitable,action_yes,1,2,39
