split,worker_id,scenario_id,permissibility_rating,intention_rating,causal_structure,evitability,action
1,371,4,4,3,side_effect,inevitable,prevention_no
1,371,4,2,4,means,evitable,prevention_no
1,371,0,2,4,side_effect,inevitable,prevention_no
1,371,7,4,4,side_effect,evitable,action_yes
1,371,9,4,2,side_effect,evitable,prevention_no
1,371,0,2,4,means,evitable,action_yes
1,371,2,1,4,side_effect,evitable,prevention_no
1,371,6,4,4,side_effect,inevitable,action_yes
1,371,5,4,4,means,evitable,action_yes
1,371,3,5,3,means,evitable,prevention_no
1,371,3,4,4,side_effect,inevitable,prevention_no
1,371,1,4,4,side_effect,inevitable,action_yes
1,371,5,4,2,side_effect,inevitable,prevention_no
1,371,6,4,4,side_effect,evitable,prevention_no
1,371,9,4,2,side_effect,inevitable,prevention_no
1,371,8,2,4,means,inevitable,action_yes
1,402,0,1,5,means,evitable,action_yes
1,402,4,1,5,means,evitable,prevention_no
1,402,5,5,2,side_effect,inevitable,prevention_no
1,402,3,4,2,means,evitable,prevention_no
1,402,9,4,2,side_effect,inevitable,prevention_no
1,402,0,1,3,side_effect,inevitable,prevention_no
1,402,4,3,3,side_effect,inevitable,prevention_no
1,402,6,5,1,side_effect,inevitable,action_yes
1,402,2,2,2,side_effect,evitable,prevention_no
1,402,3,4,2,side_effect,inevitable,prevention_no
1,402,7,4,3,side_effect,evitable,action_yes
1,402,5,4,2,means,evitable,action_yes
1,402,8,1,4,means,inevitable,action_yes
1,402,9,4,2,side_effect,evitable,prevention_no
1,402,6,5,2,side_effect,evitable,prevention_no
1,402,1,1,5,side_effect,inevitable,action_yes
1,447,0,3,2,means,evitable,action_yes
1,447,7,4,2,side_effect,evitable,action_yes
1,447,8,3,2,means,inevitable,action_yes
1,447,0,4,1,side_effect,inevitable,prevention_no
1,447,2,4,3,side_effect,evitable,prevention_no
1,447,6,4,2,side_effect,evitable,prevention_no
1,447,4,4,3,side_effect,inevitable,prevention_no
1,447,1,4,3,side_effect,inevitable,action_yes
1,447,3,4,3,side_effect,inevitable,prevention_no
1,447,6,4,2,side_effect,inevitable,action_yes
1,447,3,4,4,means,evitable,prevention_no
1,447,5,3,4,means,evitable,action_yes
1,447,4,3,2,means,evitable,prevention_no
1,447,5,4,2,side_effect,inevitable,prevention_no
1,447,9,4,3,side_effect,evitable,prevention_no
1,447,9,4,3,side_effect,inevitable,prevention_no
1,442,7,4,1,side_effect,evitable,action_yes
1,442,0,1,3,means,evitable,action_yes
1,442,3,3,3,means,evitable,prevention_no
1,442,4,2,3,means,evitable,prevention_no
1,442,9,5,1,side_effect,evitable,prevention_no
1,442,3,3,3,side_effect,inevitable,prevention_no
1,442,2,1,4,side_effect,evitable,prevention_no
1,442,5,1,3,means,evitable,action_yes
1,442,6,4,2,side_effect,inevitable,action_yes
1,442,9,4,2,side_effect,inevitable,prevention_no
1,442,8,2,3,means,inevitable,action_yes
1,442,4,2,3,side_effect,inevitable,prevention_no
1,442,0,3,3,side_effect,inevitable,prevention_no
1,442,5,4,3,side_effect,inevitable,prevention_no
1,442,1,1,3,side_effect,inevitable,action_yes
1,442,6,4,2,side_effect,evitable,prevention_no
1,398,3,2,4,side_effect,inevitable,prevention_no
1,398,6,4,2,side_effect,evitable,prevention_no
1,398,1,2,4,side_effect,inevitable,action_yes
1,398,0,2,4,side_effect,inevitable,prevention_no
1,398,8,4,4,means,inevitable,action_yes
1,398,4,2,4,means,evitable,prevention_no
1,398,2,2,4,side_effect,evitable,prevention_no
1,398,9,2,4,side_effect,evitable,prevention_no
1,398,5,2,4,side_effect,inevitable,prevention_no
1,398,6,4,4,side_effect,inevitable,action_yes
1,398,4,2,4,side_effect,inevitable,prevention_no
1,398,9,2,4,side_effect,inevitable,prevention_no
1,398,3,4,2,means,evitable,prevention_no
1,398,7,2,4,side_effect,evitable,action_yes
1,398,5,2,4,means,evitable,action_yes
1,398,0,2,4,means,evitable,action_yes
1,394,4,5,5,side_effect,inevitable,prevention_no
1,394,5,2,5,means,evitable,action_yes
1,394,3,5,3,means,evitable,prevention_no
1,394,6,5,5,side_effect,evitable,prevention_no
1,394,2,2,5,side_effect,evitable,prevention_no
1,394,0,2,4,side_effect,inevitable,prevention_no
1,394,5,5,2,side_effect,inevitable,prevention_no
1,394,3,4,3,side_effect,inevitable,prevention_no
1,394,8,4,4,means,inevitable,action_yes
1,394,7,5,1,side_effect,evitable,action_yes
1,394,0,5,2,means,evitable,action_yes
1,394,9,5,2,side_effect,evitable,prevention_no
1,394,9,5,2,side_effect,inevitable,prevention_no
1,394,6,5,3,side_effect,inevitable,action_yes
1,394,4,2,2,means,evitable,prevention_no
1,394,1,4,4,side_effect,inevitable,action_yes
1,476,3,5,5,means,evitable,prevention_no
1,476,2,3,2,side_effect,evitable,prevention_no
1,476,0,3,1,side_effect,inevitable,prevention_no
1,476,9,5,2,side_effect,evitable,prevention_no
1,476,0,3,2,means,evitable,action_yes
1,476,3,3,2,side_effect,inevitable,prevention_no
1,476,5,3,3,side_effect,inevitable,prevention_no
1,476,5,2,5,means,evitable,action_yes
1,476,1,2,5,side_effect,inevitable,action_yes
1,476,7,3,1,side_effect,evitable,action_yes
1,476,6,5,1,side_effect,evitable,prevention_no
1,476,4,2,2,means,evitable,prevention_no
1,476,9,3,1,side_effect,inevitable,prevention_no
1,476,8,3,4,means,inevitable,action_yes
1,476,4,3,2,side_effect,inevitable,prevention_no
1,476,6,5,2,side_effect,inevitable,action_yes
1,458,4,4,2,side_effect,inevitable,prevention_no
1,458,8,4,2,means,inevitable,action_yes
1,458,2,4,2,side_effect,evitable,prevention_no
1,458,6,3,2,side_effect,evitable,prevention_no
1,458,7,2,2,side_effect,evitable,action_yes
1,458,1,4,2,side_effect,inevitable,action_yes
1,458,4,4,2,means,evitable,prevention_no
1,458,0,2,2,side_effect,inevitable,prevention_no
1,458,0,4,3,means,evitable,action_yes
1,458,5,2,4,means,evitable,action_yes
1,458,3,3,2,side_effect,inevitable,prevention_no
1,458,9,4,2,side_effect,inevitable,prevention_no
1,458,9,3,2,side_effect,evitable,prevention_no
1,458,5,4,2,side_effect,inevitable,prevention_no
1,458,6,2,2,side_effect,inevitable,action_yes
1,458,3,5,3,means,evitable,prevention_no
1,427,2,2,3,side_effect,evitable,prevention_no
1,427,5,1,4,means,evitable,action_yes
1,427,0,3,2,means,evitable,action_yes
1,427,3,5,2,means,evitable,prevention_no
1,427,6,5,2,side_effect,evitable,prevention_no
1,427,9,4,1,side_effect,inevitable,prevention_no
1,427,5,3,2,side_effect,inevitable,prevention_no
1,427,9,4,2,side_effect,evitable,prevention_no
1,427,1,2,3,side_effect,inevitable,action_yes
1,427,4,3,2,means,evitable,prevention_no
1,427,4,4,2,side_effect,inevitable,prevention_no
1,427,7,3,2,side_effect,evitable,action_yes
1,427,8,2,2,means,inevitable,action_yes
1,427,3,4,2,side_effect,inevitable,prevention_no
1,427,0,2,3,side_effect,inevitable,prevention_no
1,427,6,5,1,side_effect,inevitable,action_yes
1,412,0,1,1,side_effect,inevitable,prevention_no
1,412,8,4,3,means,inevitable,action_yes
1,412,4,4,1,means,evitable,prevention_no
1,412,2,3,1,side_effect,evitable,prevention_no
1,412,1,4,4,side_effect,inevitable,action_yes
1,412,5,1,1,means,evitable,action_yes
1,412,7,2,2,side_effect,evitable,action_yes
1,412,9,4,4,side_effect,evitable,prevention_no
1,412,4,5,3,side_effect,inevitable,prevention_no
1,412,9,4,4,side_effect,inevitable,prevention_no
1,412,6,4,3,side_effect,evitable,prevention_no
1,412,6,4,3,side_effect,inevitable,action_yes
1,412,3,3,1,side_effect,inevitable,prevention_no
1,412,0,3,1,means,evitable,action_yes
1,412,3,3,2,means,evitable,prevention_no
1,412,5,2,4,side_effect,inevitable,prevention_no
1,422,8,4,3,means,inevitable,action_yes
1,422,7,1,3,side_effect,evitable,action_yes
1,422,6,4,2,side_effect,evitable,prevention_no
1,422,0,4,2,side_effect,inevitable,prevention_no
1,422,1,4,2,side_effect,inevitable,action_yes
1,422,9,2,2,side_effect,evitable,prevention_no
1,422,5,1,4,means,evitable,action_yes
1,422,2,1,4,side_effect,evitable,prevention_no
1,422,4,2,2,means,evitable,prevention_no
1,422,4,3,3,side_effect,inevitable,prevention_no
1,422,3,4,2,side_effect,inevitable,prevention_no
1,422,3,2,4,means,evitable,prevention_no
1,422,5,3,3,side_effect,inevitable,prevention_no
1,422,9,3,3,side_effect,inevitable,prevention_no
1,422,0,2,3,means,evitable,action_yes
1,422,6,4,2,side_effect,inevitable,action_yes
1,378,4,4,1,side_effect,inevitable,prevention_no
1,378,3,4,1,side_effect,inevitable,prevention_no
1,378,5,4,3,side_effect,inevitable,prevention_no
1,378,0,1,5,means,evitable,action_yes
1,378,9,4,4,side_effect,evitable,prevention_no
1,378,7,4,1,side_effect,evitable,action_yes
1,378,4,4,4,means,evitable,prevention_no
1,378,0,4,2,side_effect,inevitable,prevention_no
1,378,8,2,2,means,inevitable,action_yes
1,378,1,2,4,side_effect,inevitable,action_yes
1,378,5,1,5,means,evitable,action_yes
1,378,2,2,3,side_effect,evitable,prevention_no
1,378,6,5,3,side_effect,inevitable,action_yes
1,378,3,5,5,means,evitable,prevention_no
1,378,6,5,2,side_effect,evitable,prevention_no
1,378,9,3,2,side_effect,inevitable,prevention_no
1,432,6,5,1,side_effect,evitable,prevention_no
1,432,4,3,3,means,evitable,prevention_no
1,432,1,3,1,side_effect,inevitable,action_yes
1,432,3,4,2,means,evitable,prevention_no
1,432,7,2,3,side_effect,evitable,action_yes
1,432,8,3,2,means,inevitable,action_yes
1,432,5,4,1,side_effect,inevitable,prevention_no
1,432,0,2,3,means,evitable,action_yes
1,432,5,1,4,means,evitable,action_yes
1,432,4,3,3,side_effect,inevitable,prevention_no
1,432,9,5,3,side_effect,evitable,prevention_no
1,432,9,5,2,side_effect,inevitable,prevention_no
1,432,2,2,4,side_effect,evitable,prevention_no
1,432,3,2,4,side_effect,inevitable,prevention_no
1,432,6,3,2,side_effect,inevitable,action_yes
1,432,0,5,1,side_effect,inevitable,prevention_no
1,393,6,5,3,side_effect,evitable,prevention_no
1,393,5,2,4,means,evitable,action_yes
1,393,3,4,2,side_effect,inevitable,prevention_no
1,393,0,2,5,side_effect,inevitable,prevention_no
1,393,4,1,5,means,evitable,prevention_no
1,393,1,1,5,side_effect,inevitable,action_yes
1,393,4,1,5,side_effect,inevitable,prevention_no
1,393,7,1,5,side_effect,evitable,action_yes
1,393,9,4,2,side_effect,evitable,prevention_no
1,393,0,1,5,means,evitable,action_yes
1,393,2,1,4,side_effect,evitable,prevention_no
1,393,5,5,1,side_effect,inevitable,prevention_no
1,393,9,4,1,side_effect,inevitable,prevention_no
1,393,3,5,5,means,evitable,prevention_no
1,393,6,5,2,side_effect,inevitable,action_yes
1,393,8,1,2,means,inevitable,action_yes
1,463,9,4,3,side_effect,evitable,prevention_no
1,463,2,4,4,side_effect,evitable,prevention_no
1,463,4,4,4,means,evitable,prevention_no
1,463,7,4,3,side_effect,evitable,action_yes
1,463,4,3,3,side_effect,inevitable,prevention_no
1,463,0,1,4,means,evitable,action_yes
1,463,6,2,3,side_effect,evitable,prevention_no
1,463,8,1,3,means,inevitable,action_yes
1,463,5,1,5,means,evitable,action_yes
1,463,6,2,3,side_effect,inevitable,action_yes
1,463,5,2,4,side_effect,inevitable,prevention_no
1,463,3,3,3,side_effect,inevitable,prevention_no
