desired_format,rating,item,expert
1,5,0,expert_1
1,5,1,expert_1
1,5,2,expert_1
1,5,3,expert_1
1,5,4,expert_1
1,5,5,expert_1
1,4,6,expert_1
1,4,7,expert_1
1,4,8,expert_1
1,4,9,expert_1
1,4,10,expert_1
1,5,11,expert_1
1,5,12,expert_1
1,5,13,expert_1
1,5,14,expert_1
1,4,15,expert_1
1,4,16,expert_1
1,4,17,expert_1
1,5,18,expert_1
1,4,19,expert_1
1,5,20,expert_1
1,4,21,expert_1
1,4,22,expert_1
1,5,23,expert_1
1,4,24,expert_1
1,5,25,expert_1
0,5,26,expert_1
1,4,27,expert_1
1,4,28,expert_1
1,5,29,expert_1
0,5,30,expert_1
1,5,31,expert_1
1,5,32,expert_1
1,4,33,expert_1
1,4,34,expert_1
0,4,35,expert_1
1,5,36,expert_1
0,4,37,expert_1
0,4,38,expert_1
1,5,39,expert_1
1,4,40,expert_1
1,5,41,expert_1
1,4,42,expert_1
1,5,43,expert_1
1,5,44,expert_1
1,4,45,expert_1
1,4,46,expert_1
1,5,47,expert_1
0,5,48,expert_1
1,5,0,expert_2
1,5,1,expert_2
1,5,2,expert_2
1,5,3,expert_2
1,5,4,expert_2
1,5,5,expert_2
1,4,6,expert_2
1,4,7,expert_2
1,4,8,expert_2
1,4,9,expert_2
1,5,10,expert_2
1,5,11,expert_2
1,4,12,expert_2
1,4,13,expert_2
1,4,14,expert_2
1,5,15,expert_2
1,5,16,expert_2
1,5,17,expert_2
1,4,18,expert_2
1,5,19,expert_2
1,5,20,expert_2
1,5,21,expert_2
1,4,22,expert_2
1,5,23,expert_2
1,4,24,expert_2
1,4,25,expert_2
1,4,26,expert_2
1,5,27,expert_2
1,4,28,expert_2
1,4,29,expert_2
1,5,30,expert_2
1,5,31,expert_2
1,4,32,expert_2
1,5,33,expert_2
1,4,34,expert_2
1,4,35,expert_2
1,5,36,expert_2
0,5,37,expert_2
0,4,38,expert_2
1,5,39,expert_2
1,4,40,expert_2
1,5,41,expert_2
1,4,42,expert_2
0,4,43,expert_2
1,4,44,expert_2
1,5,45,expert_2
1,4,46,expert_2
1,5,47,expert_2
0,5,48,expert_2
