"","scenario_id","harm","good","causal_structure","evitability","action","mean"
"1",0,3.5,4,0,0,0,2.85714285714286
"2",0,3.5,4,0,0,1,2.78947368421053
"3",0,3.5,4,0,1,0,2.31578947368421
"4",0,3.5,4,0,1,1,2.52380952380952
"5",0,4,5,1,0,0,2.55
"6",0,4,5,1,0,1,2.57894736842105
"7",0,4,5,1,1,0,2
"8",0,4,5,1,1,1,2.61904761904762
"9",1,3,3.5,0,0,0,2.94736842105263
"10",1,3,3.5,0,0,1,3
"11",1,3,3.5,0,1,0,3.21052631578947
"12",1,3,3.5,0,1,1,2.75
"13",1,4.5,4,1,0,0,2.36842105263158
"14",1,4.5,4,1,0,1,2.33333333333333
"15",1,4.5,4,1,1,0,2.05
"16",1,4.5,4,1,1,1,1.78947368421053
"17",2,1.5,3,1,0,0,3.45
"18",2,1.5,3,1,0,1,3.8421052631579
"19",2,1.5,3,1,1,0,4
"20",2,1.5,3,1,1,1,3.47619047619048
"21",2,3,2.5,0,0,0,2.94736842105263
"22",2,3,2.5,0,0,1,2.52380952380952
"23",2,3,2.5,0,1,0,2.61904761904762
"24",2,3,2.5,0,1,1,2.25
"25",3,2.5,3,1,0,0,3.9047619047619
"26",3,2.5,3,1,0,1,4.21052631578947
"27",3,2.5,3,1,1,0,4.04761904761905
"28",3,2.5,3,1,1,1,4.47619047619048
"29",3,2.5,3.5,0,0,0,3.33333333333333
"30",3,2.5,3.5,0,0,1,3.42105263157895
"31",3,2.5,3.5,0,1,0,3.35
"32",3,2.5,3.5,0,1,1,3.31578947368421
"33",4,3,4.5,0,0,0,3.42857142857143
"34",4,3,4.5,0,0,1,3.1578947368421
"35",4,3,4.5,0,1,0,2.68421052631579
"36",4,3,4.5,0,1,1,2.8
"37",4,3,4.5,1,0,0,2.52631578947368
"38",4,3,4.5,1,0,1,2.66666666666667
"39",4,3,4.5,1,1,0,2.71428571428571
"40",4,3,4.5,1,1,1,2.85
"41",5,1,3.5,0,0,0,3.52380952380952
"42",5,1,3.5,0,0,1,3.57894736842105
"43",5,1,3.5,0,1,0,3.14285714285714
"44",5,1,3.5,0,1,1,3.4
"45",5,2,4,1,0,0,2.23809523809524
"46",5,2,4,1,0,1,3.25
"47",5,2,4,1,1,0,2.57894736842105
"48",5,2,4,1,1,1,2.23809523809524
"49",6,1.5,5,1,0,0,4.19047619047619
"50",6,1.5,5,1,0,1,3.85
"51",6,1.5,5,1,1,0,3.94736842105263
"52",6,1.5,5,1,1,1,4.05263157894737
"53",6,2.5,4,0,0,0,4.05263157894737
"54",6,2.5,4,0,0,1,4
"55",6,2.5,4,0,1,0,4.0952380952381
"56",6,2.5,4,0,1,1,3.89473684210526
"57",7,2.5,2,1,0,0,2.95238095238095
"58",7,2.5,2,1,0,1,2.68421052631579
"59",7,2.5,2,1,1,0,2.63157894736842
"60",7,2.5,2,1,1,1,2.66666666666667
"61",7,3,2.5,0,0,0,3.05263157894737
"62",7,3,2.5,0,0,1,3.26315789473684
"63",7,3,2.5,0,1,0,3.3
"64",7,3,2.5,0,1,1,3.19047619047619
"65",8,3,4.5,0,0,0,2.94736842105263
"66",8,3,4.5,0,0,1,2.85714285714286
"67",8,3,4.5,0,1,0,2.63157894736842
"68",8,3,4.5,0,1,1,3.31578947368421
"69",8,3.5,4.5,1,0,0,2.73684210526316
"70",8,3.5,4.5,1,0,1,2.95238095238095
"71",8,3.5,4.5,1,1,0,2.5
"72",8,3.5,4.5,1,1,1,2.66666666666667
"73",9,1.5,4,1,0,0,3.26315789473684
"74",9,1.5,4,1,0,1,3.28571428571429
"75",9,1.5,4,1,1,0,3.8421052631579
"76",9,1.5,4,1,1,1,3.55
"77",9,2,3.5,0,0,0,3.66666666666667
"78",9,2,3.5,0,0,1,3.57142857142857
"79",9,2,3.5,0,1,0,3.95238095238095
"80",9,2,3.5,0,1,1,3
