Ayesha, a medical researcher, faces a moral dilemma.;Ayesha must decide whether to conduct surgery on a dying patient that will cause the patient immense pain in order to gain approval for a new surgery technique that would save countless lives in the future. Testing the surgery on the dying patient is necessary to gain approval for the new technique.;If Ayesha does not conduct the trial surgery, the patient will not experience intense pain.;Ayesha conducts the trial surgery.
Major Sarah, a military strategist, faces a moral dilemma.;Major Sarah must decide whether to order the killing of a child to gain approval for a mission to destroy a strategic enemy base. The approval is necessary to commence a mission that can save countless lives.;If Major Sarah does not order the killing of the child, the child will not die.;Major Sarah orders the killing of the child.
Elena, a wildlife conservationist, faces a moral dilemma.;Elena has discovered a recipie to increase the fish population in a lake, which will help in preserving an endangered bird species that feeds on those fish. However, to do so, she must first eliminate a non-native fish species in the lake.;If Elena does not use the chemical, the non-native fish species will not be eliminated.;Elena uses a chemical to eliminate the non-native fish species.
Quentin, a kindergarten teacher, faces a moral dilemma.;Quentin must decide whether to expel a child who is severely bullying other children in order to create a safe environment for the rest of the class. The expulsion is necessary to stop the bullying.;If Quentin does not expel the child, the child will not be expelled.;Quentin expels the child.
Alice, a rocket scientist, faces a moral dilemma.;Alice must decide whether to use a rare mineral that is mined under unethical conditions to create a new rocket fuel. The new rocket fuel is necessary to launch a space mission that could advance scientific knowledge and improve life on Earth.;If Alice does not use the rare mineral, the unethical mining practices will not be supported.;Alice uses the rare mineral.
Arnold, a yoga instructor, faces a moral dilemma.;Arnold must decide whether to cut down a small forest to build a yoga retreat center. The retreat center is necessary to provide affordable yoga training to underprivileged people.;If Arnold does not cut down the small forest, it will not be destroyed.;Arnold cuts down the small forest.
Jake, an urban planner, faces a moral dilemma.;Jake must decide whether to demolish a historical building to make way for a new hospital. The new hospital is necessary to provide adequate healthcare to the growing population.;If Jake does not order the demolition of the historical building, the building will not be demolished.;Jake orders the demolition of the historical building.
Sam, a kite designer, faces a moral dilemma.;Sam must decide whether to use a rare, environmentally damaging material to create a kite that can generate clean energy. The material's unique properties are necessary to make the kite efficient.;If Sam does not use the rare material, no environmental damage will be caused.;Sam uses the rare material.
Zara, a quantum physicist, faces a moral dilemma.;Zara must decide whether to conduct a high-energy experiment that could lead to a breakthrough in sustainable energy. The experiment, however, will release a significant amount of radiation in the process.;If Zara does not conduct the high-energy experiment, no radiation will be released.;Zara conducts the high-energy experiment.
Felicia, an event planner, faces a moral dilemma.;Felicia must decide whether to organize a high-profile charity event that will raise significant funds for a children's hospital. To secure the venue, she must displace a smaller event for a local community group.;If Felicia does not organize the high-profile charity event, the local community group's event will not be displaced.;Felicia organizes the high-profile charity event.
