Ayesha, a medical researcher, faces a moral dilemma.;Ayesha must decide whether to conduct surgery on a dying patient that will cause the patient immense pain in order to gain approval for a new surgery technique that would save countless lives in the future. Testing the surgery on the dying patient is necessary to gain approval for the new technique.;Another medical researcher would conduct the trial surgery, causing the patient intense pain, no matter what Ayesha does.;Ayesha does not prevent the trial surgery.
Major Sarah, a military strategist, faces a moral dilemma.;Major Sarah must decide whether to order the killing of a child to gain approval for a mission to destroy a strategic enemy base. The approval is necessary to commence a mission that can save countless lives.;Another military strategist would order the killing of the child, causing the child's death, no matter what Major Sarah does.;Major Sarah does not prevent the killing of the child.
Elena, a wildlife conservationist, faces a moral dilemma.;Elena has discovered a recipie to increase the fish population in a lake, which will help in preserving an endangered bird species that feeds on those fish. However, to do so, she must first eliminate a non-native fish species in the lake.;Another wildlife conservationist would eliminate the non-native fish species, causing the same harm, no matter what Elena does.;Elena does not prevent the use of the chemical.
Quentin, a kindergarten teacher, faces a moral dilemma.;Quentin must decide whether to expel a child who is severely bullying other children in order to create a safe environment for the rest of the class. The expulsion is necessary to stop the bullying.;Another teacher would expel the child, causing their expulsion, no matter what Quentin does.;Quentin does not prevent the expulsion of the child.
Alice, a rocket scientist, faces a moral dilemma.;Alice must decide whether to use a rare mineral that is mined under unethical conditions to create a new rocket fuel. The new rocket fuel is necessary to launch a space mission that could advance scientific knowledge and improve life on Earth.;Another rocket scientist would use the rare mineral, causing the same harm from unethical mining practices, no matter what Alice does.;Alice does not prevent the use of the rare mineral.
Arnold, a yoga instructor, faces a moral dilemma.;Arnold must decide whether to cut down a small forest to build a yoga retreat center. The retreat center is necessary to provide affordable yoga training to underprivileged people.;Another developer would cut down the small forest, causing its destruction, no matter what Arnold does.;Arnold does not prevent the destruction of the small forest.
Jake, an urban planner, faces a moral dilemma.;Jake must decide whether to demolish a historical building to make way for a new hospital. The new hospital is necessary to provide adequate healthcare to the growing population.;Another urban planner would order the demolition of the historical building, causing the building to be demolished, no matter what Jake does.;Jake does not prevent the demolition of the historical building.
Sam, a kite designer, faces a moral dilemma.;Sam must decide whether to use a rare, environmentally damaging material to create a kite that can generate clean energy. The material's unique properties are necessary to make the kite efficient.;Another kite designer would use the rare material, causing environmental damage, no matter what Sam does.;Sam does not prevent the use of the rare material.
Zara, a quantum physicist, faces a moral dilemma.;Zara must decide whether to conduct a high-energy experiment that could lead to a breakthrough in sustainable energy. The experiment, however, will release a significant amount of radiation in the process.;Another quantum physicist would conduct the high-energy experiment, causing the release of radiation, no matter what Zara does.;Zara does not prevent the high-energy experiment.
Felicia, an event planner, faces a moral dilemma.;Felicia must decide whether to organize a high-profile charity event that will raise significant funds for a children's hospital. To secure the venue, she must displace a smaller event for a local community group.;Another event planner would organize the high-profile charity event, causing the displacement of the local community group's event, no matter what Felicia does.;Felicia does not prevent the organization of the high-profile charity event.
Fiona, a neuroscientist, faces a moral dilemma.;Fiona has developed a groundbreaking treatment for a severe neurological disorder. However, the treatment requires the use of stem cells obtained from human embryos.;Another neuroscientist would use stem cells from human embryos, causing the destruction of the embryos, no matter what Fiona does.;Fiona does not prevent the use of stem cells from human embryos.
Thomas, a youth counselor, faces a moral dilemma.;Thomas must choose between reporting a troubled teenager's illegal activities to the authorities, which would lead to the teenager's arrest, or keeping the information confidential to maintain the teenager's trust in the counseling process.;Another counselor would report the teenager's illegal activities, causing the teenager's arrest and loss of trust in the counseling process, no matter what Thomas does.;Thomas does not prevent the teenager's arrest by not reporting the illegal activities.
Harold, a veterinarian, faces a moral dilemma.;Harold must decide whether to euthanize an aggressive dog that poses a danger to people and other animals. The euthanasia is necessary to prevent potential harm to others.;Another veterinarian would euthanize the aggressive dog, causing its death, no matter what Harold does.;Harold does not prevent the euthanasia of the aggressive dog.
