Maya, an Architect, faces a moral dilemma.;Maya's colleague has the opportunity to implement a new bike lane system throughout the city.;The new bike lane system encourages residents to cycle more.;As a side effect of encouraging residents to cycle more, the implementation of the bike lanes increases the prices for parking cars in the city.;If Maya prevents her colleague's implementation of the bike lane system, the increase in parking prices would still happen because of a new city ordinance for greener transportation.;Maya does not prevent her colleague's implementation of the bike lane system.
Alejandro, an Engineer, faces a moral dilemma.;Alejandro's colleague has the opportunity to upgrade a microwave to a more efficient model.;The new microwave is more environmentally friendly.;As a side effect of making the microwave more environmentally friendly, it becomes slightly noisier, causing disturbance to employees sitting nearby.;If Alejandro prevents his colleague's upgrade of the microwave, the noise disturbance would still happen because of a change in office building regulations.;Alejandro does not prevent his colleague's upgrade of the microwave.
Amir, a Teacher, faces a moral dilemma.;Amir's colleague has the opportunity to introduce an online homework submission system in his class.;The online system streamlines the submission process for some assignments.;As a side effect of streamlining the submission process for some assignments, some students who are less tech-savvy experience initial confusion and anxiety adapting to the new system.;If Amir prevents his colleague's introduction of the online homework submission system, the confusion and anxiety among some students would still happen because of a school-wide policy mandating online homework submissions.;Amir does not prevent his colleague's introduction of the online homework submission system.
Mei, a Nurse, faces a moral dilemma.;Mei's colleague has the opportunity to implement a new digital system for patient record-keeping in her clinic.;The digital system improves the time it takes to access patient records.;As a side effect of improving the time it takes to access patient records, some elderly patients feel uncomfortable with the new system, missing the personal touch of traditional methods.;If Mei prevents her colleague's implementation of the new digital system for patient record-keeping, the discomfort among elderly patients would still happen because of a new healthcare regulation requiring the adoption of digital record-keeping.;Mei does not prevent her colleague's implementation of the new digital system for patient record-keeping.
Amina, a Chef, faces a moral dilemma.;Amina's colleague has the opportunity to switch to biodegradable packaging for the restaurant’s takeaway orders.;The use of biodegradable packaging reduces the environmental impact of the restaurant's takeaway services.;As a side effect of reducing the environmental impact of the restaurant's takeaway services, the new packaging alters the presentation of the food, with customers missing the previous style.;If Amina prevents her colleague's switch to biodegradable packaging, the alteration in food presentation would still happen because of a new municipal ordinance requiring all local restaurants to use environmentally friendly packaging.;Amina does not prevent her colleague's switch to biodegradable packaging.
Isamu, an Artist, faces a moral dilemma.;Isamu's colleague has the opportunity to use a new type of eco-friendly paint for his artworks.;This paint is slightly less smelly.;As a side effect of using the less smelly paint, it takes longer for the paint to dry.;If Isamu prevents his colleague's use of the new eco-friendly paint, the delay in drying his artworks would still happen because of the increase in environmental regulations in the art industry.;Isamu does not prevent his colleague's use of the new eco-friendly paint.
Sanaa, a Lawyer, faces a moral dilemma.;Sanaa's colleague has the opportunity to introduce a new software for document automation in her law firm.;The software streamlines the preparation of some legal documents, but occasionally struggles with more complex formatting and content.;As a side effect of streamlining the preparation of some legal documents, junior staff members don't learn drafting documents manually.;If Sanaa prevents her colleague's introduction of the new software for document automation, the lack of manual drafting skills among junior staff members would still happen because of a trend towards technological efficiency in legal practices.;Sanaa does not prevent her colleague's introduction of the new software for document automation.
Diego, a Mechanic, faces a moral dilemma.;Diego's colleague has the opportunity to use a new, more efficient hydraulic lift in his garage.;The new lift helps with the repairs of a small subset of vehicles.;As a side effect of helping with the repairs of a small subset of vehicles, the new lift produces a low humming noise, which is distracting to some workers.;If Diego prevents his colleague's use of the new hydraulic lift, the low humming noise would still happen because of industry-wide advancements.;Diego does not prevent his colleague's use of the new hydraulic lift.
Amara, a Soldier, faces a moral dilemma.;Amara's colleague has the opportunity to have her team participate in advanced virtual reality (VR) combat training.;The VR training is an somewhat more interesting experience.;As a side effect of the somewhat more interesting experience, some soldiers experience short dizziness after extended VR sessions.;If Amara prevents her colleague's participation in the VR combat training, the short dizziness would still happen because of the evolution of military training protocols to include VR sessions.;Amara does not prevent her colleague's participation in the VR combat training.
Thanh, a Policeman, faces a moral dilemma.;Thanh's colleague has the opportunity to implement a new digital reporting system for minor incidents.;The system is slightly easier to use.;As a side effect of making the reporting system slightly easier to use, the new digital system requires older officers to adapt to new technology, causing frustration.;If Thanh prevents his colleague's implementation of the new digital reporting system for minor incidents, the frustration among older officers would still happen because of a shift in police department policy that mandates digital reporting for minor incidents.;Thanh does not prevent his colleague's implementation of the new digital reporting system for minor incidents.
