Maya, an Architect, faces a moral dilemma.;Maya has the opportunity to implement a new bike lane system throughout the city.;The new bike lane system encourages residents to cycle more.;As a side effect of encouraging residents to cycle more, the implementation of the bike lanes increases the prices for parking cars in the city.;If Maya does not implement the bike lane system, the increase in parking prices would still happen because of a new city ordinance for greener transportation.;Maya implements the new bike lane system.
Alejandro, an Engineer, faces a moral dilemma.;Alejandro has the opportunity to upgrade a microwave to a more efficient model.;The new microwave is more environmentally friendly.;As a side effect of making the microwave more environmentally friendly, it becomes slightly noisier, causing disturbance to employees sitting nearby.;If Alejandro does not upgrade the microwave, the noise disturbance would still happen because a change in office building regulations requires the replacement of old appliances with more energy-efficient models.;Alejandro upgrades the microwave to a more efficient model.
Amir, a Teacher, faces a moral dilemma.;Amir has the opportunity to introduce an online homework submission system in his class.;The online system streamlines the submission process for some assignments.;As a side effect of streamlining the submission process for some assignments, some students who are less tech-savvy experience initial confusion and anxiety adapting to the new system.;If Amir does not introduce the online homework submission system, the confusion and anxiety of some students would still happen because of a school-wide policy mandating online homework submissions.;Amir introduces the online homework submission system.
Mei, a Nurse, faces a moral dilemma.;Mei has the opportunity to implement a new digital system for patient record-keeping in her clinic.;The digital system improves the time it takes to access patient records.;As a side effect of improving the time it takes to access patient records, some elderly patients feel uncomfortable with the new system, missing the personal touch of traditional methods.;If Mei does not implement the new digital system for patient record-keeping, the discomfort of elderly patients would still happen because a new healthcare regulation requires the adoption of digital record-keeping.;Mei implements the new digital system for patient record-keeping.
Amina, a Chef, faces a moral dilemma.;Amina has the opportunity to switch to biodegradable packaging for her restaurant’s takeaway orders.;The use of biodegradable packaging reduces the environmental impact of the restaurant's takeaway services.;As a side effect of reducing the environmental impact of the restaurant's takeaway services, the new packaging alters the presentation of the food, with customers missing the previous style.;If Amina does not switch to biodegradable packaging, the alteration in food presentation would still happen because of a new municipal ordinance requiring all local restaurants to use environmentally friendly packaging.;Amina switches to biodegradable packaging.
Isamu, an Artist, faces a moral dilemma.;Isamu has the opportunity to use a new type of eco-friendly paint for his artworks which is less smelly.;This paint is slightly less smelly.;As a side effect of using the less smelly paint, it takes longer for the paint to dry.;If Isamu does not use the new eco-friendly paint, his artworks would still take longer to dry because of the increase in environmental regulations in the art industry.;Isamu uses the new eco-friendly paint.
Sanaa, a Lawyer, faces a moral dilemma.;Sanaa has the opportunity to introduce a new software for document automation in her law firm.;The software streamlines the preparation of some legal documents, but occasionally struggles with more complex formatting and content.;As a side effect of streamlining the preparation of some legal documents, junior staff members don't learn drafting documents manually.;If Sanaa does not introduce the new software for document automation, junior staff members would still struggle with learning to draft documents manually because of a trend towards technological efficiency in legal practices.;Sanaa introduces the new software for document automation.
Diego, a Mechanic, faces a moral dilemma.;Diego has the opportunity to use a new, more efficient hydraulic lift in his garage.;The new lift helps with the repairs of a small subset of vehicles.;As a side effect of helping with the repairs of a small subset of vehicles, the new lift produces a low humming noise, which is distracting to some workers.;If Diego does not use the new hydraulic lift, the low humming noise would still happen because industry-wide advancements lead to the adoption of more efficient hydraulic lifts.;Diego uses the new, more efficient hydraulic lift.
Amara, a Soldier, faces a moral dilemma.;Amara has the opportunity to have her team participate in advanced virtual reality (VR) combat training.;The VR training is an somewhat more interesting experience.;As a side effect of the somewhat more interesting experience, some soldiers experience short dizziness after extended VR sessions.;If Amara does not participate in the VR combat training, the short dizziness would still happen because military training protocols evolve to include VR sessions.;Amara participates in the advanced VR combat training.
Thanh, a Policeman, faces a moral dilemma.;Thanh has the opportunity to implement a new digital reporting system for incidents.;The system is slightly easier to use.;As a side effect of making the reporting system slightly easier to use, the new digital system requires older officers to adapt to new technology, causing frustration.;If Thanh does not implement the new digital reporting system, the frustration of older officers would still happen because of a shift in police department policy that mandates digital reporting for minor incidents.;Thanh implements the new digital reporting system.
